  Prov. Des.    q       Q       H     Epoch      M     Peri. Node   Incl.  e      a
  2016 FT59   40.606  46.229    7.6   20160313  121.0  109.5 304.0  17.1 0.065  43.417
  2016 FT58   40.940  43.040    7.8   20160313  359.9  293.5 243.0  15.3 0.025  41.990
  2016 FS59   32.046  51.381    9.6   20160313  359.9  309.5 231.4  24.9 0.232  41.713
  2016 FQ59   41.072  41.714    7.6   20160313  179.0   38.9 332.2  17.9 0.008  41.393
  2016 FO59   35.607  43.924    7.8   20160313   70.2  261.0 198.8  23.2 0.105  39.766
  2016 FM59   32.059  46.402    9.3   20160313    0.7  342.7 200.8  27.9 0.183  39.230
  2016 FL59   42.011  44.361    6.9   20200531    1.9  270.5 277.4   6.9 0.027  43.186
  2016 FH59   39.210  45.321    7.6   20160313   39.3  197.8 302.7  15.5 0.072  42.265
  2016 FG59   35.869  46.488    7.1   20160313  181.2   38.8 329.6  28.4 0.129  41.179
  2016 FF59   40.740  41.920    8.1   20160313  178.8  152.2 206.4  14.1 0.014  41.330
  2016 FE59   37.939  46.090    8.6   20160313  359.9  300.3 238.6  10.6 0.097  42.015
  2016 FD60   36.604  49.176    8.1   20160313  281.5   74.5 201.6  16.6 0.147  42.890
  2016 FD59   30.987  47.775    9.2   20160313    1.5  326.7 206.6  20.0 0.213  39.381
  2016 FC60   34.532  51.653    8.8   20160313  351.4  246.2 308.4   7.7 0.199  43.092
  2016 FC59   40.964  42.673    7.6   20160313  359.9  234.1 306.8  17.2 0.020  41.819
  2016 FB60   37.725  48.476    8.6   20160313    1.2  249.8 291.9  10.0 0.125  43.100
  2016 FB59   39.044  44.224    8.6   20160313  359.9  283.5 259.2  18.4 0.062  41.634
  2016 FA60   35.872  50.151    9.1   20160313  347.7  252.3 311.8  23.9 0.166  43.012
  2016 FA59   37.327  40.987    8.5   20160313  284.4  280.1 338.1  23.9 0.047  39.157
  2016 AN278  36.782  56.478    6.97  20201217    9.8  271.5 190.2   7.0 0.211  46.630
  2015 VZ172  41.135  44.578    8.8   20190427  176.2  153.3  84.0   2.2 0.040  42.857
  2015 VZ171  40.155  48.051    8.0   20190427  208.9   91.7 117.9   2.8 0.090  44.103
  2015 VZ170  40.116  48.016    8.3   20190427  102.8  246.4  56.7   4.2 0.090  44.066
  2015 VZ169  41.102  48.986    7.8   20190427  248.4   35.6 141.9   1.7 0.088  45.044
  2015 VZ168  37.278  50.739    7.6   20190427  219.8  348.2 213.8   6.2 0.153  44.009
  2015 VZ166  40.985  45.984    9.4   20190427    1.2  351.7  61.1   4.5 0.057  43.485
  2015 VZ164  30.741  47.719    8.5   20190427  309.7  282.7 208.7   1.8 0.216  39.230
  2015 VY172  43.595  46.870    7.6   20200531  347.5  336.3  92.5   1.7 0.036  45.233
  2015 VY171  41.757  44.075    8.6   20190427   86.1  212.0 113.4   3.0 0.027  42.916
  2015 VY170  42.173  43.780    7.5   20190427   61.7  308.6  43.8   1.8 0.019  42.977
  2015 VY169  39.582  53.471    8.3   20190427  356.1  193.6 230.6  11.2 0.149  46.526
  2015 VY168  41.817  43.376    8.8   20190427   26.6  262.1 123.6   1.8 0.018  42.596
  2015 VY166  40.246  46.693    9.1   20190427   70.5  276.5  60.8   1.2 0.074  43.469
  2015 VY164  32.074  46.266    9.9   20190427   13.4  233.1 166.5   1.3 0.181  39.170
  2015 VX184  45.954  92.698    6.2   20200531  322.6   94.2  11.5  33.6 0.337  69.326
  2015 VX172  41.988  44.697    8.8   20190427   59.1  265.3  86.3   2.1 0.031  43.343
  2015 VX171  40.073  49.993    7.0   20190427  124.7   78.4 201.0   6.6 0.110  45.033
  2015 VX170  43.521  49.331    8.6   20190427  306.9   66.0  48.6   2.6 0.063  46.426
  2015 VX169  41.013  46.399    7.8   20190427  224.8  128.6  68.7   3.2 0.062  43.706
  2015 VX168  41.621  44.237    8.1   20190427  211.1  131.3  72.3   2.7 0.030  42.929
  2015 VX166  37.855  48.931    8.4   20190427  224.2  155.6  44.0   3.1 0.128  43.393
